DATAFLOW,LAST UPDATE,freq,airpol,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2020-10,18.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2020-11,22.2,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2020-12,19.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-01,22,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-02,26.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-03,23.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-04,14.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-05,12.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-06,14.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-07,12.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-08,13,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-09,20.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-10,20.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-11,20.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2021-12,21,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-01,19.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-02,18.2,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-03,26,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-04,16.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-05,15.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-06,12.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-07,12.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-08,13.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-09,15.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-10,20.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-11,21.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2022-12,22,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-01,18.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-02,17.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-03,20.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-04,14.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-05,12.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-06,13.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-07,12.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-08,13.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-09,18.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-10,18.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-11,18.2,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2023-12,22.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-01,22.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-02,18.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-03,16.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-04,14.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-05,12.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-06,11.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-07,10.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-10,16.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Wien,2024-11,22,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-01,33.2,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-02,41.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-03,38.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-04,33.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-05,33,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-06,26,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-07,28.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-08,22.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-09,31.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-10,36.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-11,36.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2018-12,35.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-01,38.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-02,46.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-03,32.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-04,33.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-05,32.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-06,26.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-07,21.2,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-08,23,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-09,24.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-10,25.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-11,32.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2019-12,30.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-01,30.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-02,23.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-03,23.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-04,21.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-05,19.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-06,18.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-07,15.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-08,19.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-09,27.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-10,20.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-11,27.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2020-12,25.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-01,29,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-02,27.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-03,30.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-04,27.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-05,19.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-06,22.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-07,16.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-08,16.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-09,23.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-10,27.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-11,35,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2021-12,30.2,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-01,33.2,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-02,24.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-03,38.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-04,24.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-05,23.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-06,21.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-07,19.2,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-08,21.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-09,26.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-10,25,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-11,23,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2022-12,30.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-01,24.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-02,32.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-03,24.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-04,25.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-05,22,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-06,22.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-07,15.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-08,18.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-09,24.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-10,21.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-11,22.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2023-12,21.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-01,27.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-02,20.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-03,24.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-04,18.9,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-05,21.6,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-06,20.3,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-07,16.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-08,15,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-09,19.4,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-10,22.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Bruxelles/Brussel,2024-11,23.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-01,49.8,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-02,30,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-03,33.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-04,26.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-05,23.5,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-06,21.1,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-07,17.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-08,19.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-09,19.7,
ESTAT:ENV_AIR_NO2(1.0),28/11/24 11:00:00,Monthly,Nitrogen dioxide,Micrograms per cubic metre,Sofia,2018-10,29.3,
